Year,Month,Region,Commodity,temperature_C,precip_m,dewpoint_C,relative_humidity,temp_anomaly,precip_anomaly,temp_3m_avg,precip_3m_sum,drought_index,heat_stress,Date,Wheat_Price
2015,2,US GREAT PLAINS,Wheat,25.93801255688014,0.02171104243705463,19.9685653555484,69.71649472806918,-2.634213111660891,0.00016269705092917738,25.93801255688014,0.02171104243705463,0.26358400821701833,29.423837293283597,2015-02-01,201.74206877193
2015,3,US GREAT PLAINS,Wheat,30.267189933340056,0.02277638756880407,24.297742732008317,70.53641991262786,0.11486016219472717,-0.0018844633194339266,28.102601245110097,0.0444874300058587,-0.013370479538906644,33.794010928971446,2015-03-01,202.691426666667
2015,4,US GREAT PLAINS,Wheat,27.1744802571754,0.02365660088818241,21.20503305584366,69.95384195939856,-0.6049421328650304,0.0008751843291133106,27.793227582465196,0.06814403089404111,0.061369397615616356,30.672172355145328,2015-04-01,195.931228253968
2015,5,US GREAT PLAINS,Wheat,22.501869489142592,0.01665672666016165,16.532422287810853,69.04325879116735,-0.5110777983062995,-0.0030657961862158925,26.647846559886016,0.06308971511714813,0.04804198364441406,25.95403242870096,2015-05-01,193.216571166667
2015,6,US GREAT PLAINS,Wheat,15.15930283388555,0.014822688942866431,9.189855632553812,67.53457204216993,-0.27509038988810985,0.0007081210912469951,21.61188419340118,0.05513601649121049,0.028217160080057983,18.536031435994047,2015-06-01,199.835441666667
2015,7,US GREAT PLAINS,Wheat,5.912086778401099,0.01587921187024301,-0.05736042293063992,65.48922454175704,-1.6301009985693984,0.0036552720217124836,14.524419700476413,0.04735862747327109,0.16666537187865232,9.186548005488952,2015-07-01,199.21748
2015,8,US GREAT PLAINS,Wheat,2.2231962268743874,0.009304570614112662,-3.746250974457351,64.62495846989721,-0.26598585525123175,-0.0009083390035482738,7.764861946387012,0.04000647142722211,0.0256902465215749,5.454444150369248,2015-08-01,173.517591587302
2015,9,US GREAT PLAINS,Wheat,0.20044725935200533,0.0034246535225655704,-5.768999941979733,64.13876334549589,0.2208740235727308,-0.003516632883613407,2.7785767548758304,0.028608436006921242,-0.02560403524088649,3.4073854266267998,2015-09-01,164.06922015873
2015,10,US GREAT PLAINS,Wheat,1.6522348429208853,0.016486506736593357,-4.3172123584108535,64.48861399310597,-0.24532956867437417,0.008560525631981772,1.3586261097157593,0.02921573087327159,0.033093482499419194,4.876665542576184,2015-10-01,165.451481904762
2015,11,US GREAT PLAINS,Wheat,6.4397218658603315,0.004724608703521534,0.4702746645285929,65.61052508306376,-1.1314792888155125,-0.003362936548824429,2.764134656044407,0.024635768962680462,0.10978499233272683,9.720248120013519,2015-11-01,157.804378947368
